MH_05,LM_30,LM_40,BH_35A,BH_35B,BH_35E,BH_40A,BH_40B,BH_40C,BH_40D,BH_40E,BH_40F,BH_40G,BH_40H,AGEGRP,SEX,PCHILD,MARSTATC,DWELCODC,PEDUC_LC,PTELEWSC,PEMPSTC,PFSCDV,PERS_WGT
3,4,4,1,4,1,3,3,3,1,3,2,1,3,2,2,0,4,1,4,3,1,0,2428.6129
5,1,1,1,2,2,3,3,3,3,3,1,2,2,1,1,1,4,2,2,4,3,2,6283.3357
3,5,4,1,1,4,1,3,1,1,1,1,1,3,3,2,0,1,3,7,1,1,0,17073.917
1,5,4,4,4,4,3,3,3,3,3,3,3,3,5,2,0,4,1,4,3,1,0,2721.1172
4,6,2,1,4,2,2,3,1,1,1,1,1,1,2,1,0,4,1,2,9,4,1,14914.1622
1,1,1,1,3,4,3,9,9,9,3,9,9,9,5,2,0,1,4,2,4,3,0,11484.8722
1,5,2,4,4,4,3,3,3,3,1,3,3,1,5,2,1,1,1,5,3,1,0,2150.6301
2,5,4,3,3,3,3,3,3,3,3,3,3,3,5,2,0,3,1,6,1,1,0,2593.0233
2,6,4,1,4,4,3,3,3,3,3,3,3,3,5,1,0,2,4,7,9,4,0,4138.4494
2,5,4,1,1,4,3,3,3,3,1,1,3,3,5,2,0,1,1,7,2,1,0,581.7232
4,1,5,4,4,4,1,3,3,1,1,1,1,3,4,1,0,3,1,2,3,1,0,4280.7851
1,5,4,3,4,3,3,3,3,1,1,1,3,1,4,2,1,4,1,4,3,1,0,374.7167
1,5,4,3,4,4,3,3,3,3,3,3,3,3,4,2,0,3,2,1,3,1,2,3179.7654
4,3,3,1,4,4,1,3,3,1,1,1,1,2,2,1,0,4,1,5,9,1,0,7545.6183
1,4,4,3,3,4,3,3,3,3,1,3,3,3,2,2,0,1,3,6,1,1,0,10204.903
2,6,4,1,4,3,3,3,3,3,1,1,1,3,5,2,0,1,2,2,9,4,0,6877.2292
2,6,1,1,4,4,3,3,3,3,1,1,1,3,1,1,0,4,4,3,9,4,0,13324.6967
3,5,5,1,4,4,3,3,3,1,1,1,3,3,3,2,1,2,1,6,4,2,1,2502.4684
4,6,3,3,3,3,3,3,3,1,1,1,3,3,5,1,0,4,1,3,9,4,3,675.5902
2,5,4,3,4,2,3,3,3,1,1,1,3,1,4,2,0,1,1,4,1,1,0,3261.2347
2,4,4,1,4,4,3,3,3,3,3,3,3,3,4,2,0,1,1,4,3,1,0,1569.4271
1,6,3,3,4,3,3,3,3,3,3,1,1,3,1,1,1,4,4,1,9,4,0,25114.6736
2,3,2,3,4,4,3,3,3,1,3,3,3,1,4,1,1,2,1,3,3,1,1,6691.9494
1,6,4,1,4,4,3,3,3,3,3,1,1,3,5,2,0,1,4,6,9,4,0,3190.8479
2,5,4,3,4,4,3,3,3,3,3,3,3,3,3,1,1,1,1,3,3,1,0,14714.2435
4,6,1,1,3,1,3,3,3,1,1,1,3,3,5,2,0,3,1,2,9,4,3,732.2426
2,6,4,1,4,4,3,3,3,3,3,3,3,3,2,1,0,4,1,2,9,4,0,13093.5837
2,6,3,4,4,4,3,3,3,3,2,1,3,3,5,1,0,1,1,2,9,4,0,5851.0422
1,6,1,3,3,3,2,3,3,3,1,1,3,3,3,1,1,1,2,6,9,4,3,9966.9675
1,1,1,1,4,2,3,3,3,3,1,1,3,3,6,2,0,1,3,2,4,3,0,22046.0118
1,5,3,3,3,4,3,3,3,3,1,1,3,3,5,1,0,1,1,7,3,1,0,5625.2081
4,5,4,3,4,4,1,3,1,2,1,2,1,1,1,1,0,4,3,6,1,1,0,5644.7318
1,6,3,4,2,2,3,3,3,3,1,3,3,3,7,1,0,3,1,3,9,4,0,898.6112
2,5,3,1,4,2,3,3,3,3,3,1,3,1,2,2,0,2,2,7,1,1,0,3719.4122
2,5,4,1,1,4,3,3,3,3,3,1,3,3,4,2,0,3,4,4,3,1,0,2987.0663
2,5,2,3,4,4,3,3,3,3,3,1,3,3,6,1,0,1,1,4,2,1,0,3955.9676
3,4,4,1,1,3,3,3,3,3,1,1,3,3,5,2,0,3,1,7,1,1,0,319.4117
1,6,4,1,1,3,3,3,3,3,1,1,3,3,7,1,0,1,4,2,9,4,0,5970.6433
3,3,2,1,4,4,3,1,3,3,3,3,3,3,4,2,0,1,1,3,3,1,9,10106.1393
2,6,4,1,4,4,3,3,3,3,3,3,3,3,6,2,0,3,1,6,9,4,0,956.3532
3,6,3,1,4,4,2,3,3,2,1,1,3,1,2,2,1,2,1,4,9,4,0,8264.3329
4,1,1,4,2,2,1,3,3,2,3,3,3,3,4,1,1,1,1,6,3,1,2,2297.661
2,6,1,3,4,3,2,3,3,2,1,1,1,1,3,2,1,1,1,6,9,4,0,1807.3724
3,9,2,9,9,9,3,3,3,1,3,3,3,3,7,2,0,3,1,2,9,9,9,1928.4658
3,3,2,3,4,3,3,3,3,3,1,1,3,3,5,1,1,1,1,4,3,1,9,18753.963
1,6,4,3,4,4,3,3,3,3,3,3,3,3,5,1,0,2,1,4,9,4,0,3299.6964
1,5,5,3,3,1,2,3,3,2,1,1,2,1,4,1,0,2,4,4,2,1,1,28991.5908
4,6,3,4,4,4,3,3,3,1,1,1,3,3,6,2,0,1,4,1,9,4,9,14251.0086
4,5,4,1,4,3,3,3,3,3,3,3,3,1,2,2,0,4,1,6,3,1,0,6627.2799
4,6,1,1,2,3,3,9,9,9,2,1,9,1,4,2,0,3,1,4,9,4,3,859.033
1,6,5,1,4,2,3,3,3,2,1,3,3,3,6,2,0,1,1,2,9,4,0,37551.5503
2,6,4,1,1,4,3,9,9,3,3,9,9,9,6,1,0,1,1,6,9,4,0,16056.9624
1,6,2,1,1,4,3,3,3,3,3,1,3,3,5,2,0,1,1,4,9,4,0,1403.4359
3,2,4,3,4,4,3,3,3,1,1,1,3,3,5,1,0,1,1,4,3,1,0,2501.2738
3,6,5,1,4,3,3,3,3,3,3,1,3,3,5,1,0,1,1,3,9,4,0,1006.2606
2,4,3,4,4,4,3,3,3,3,3,1,3,1,5,1,0,1,1,3,4,3,0,2003.1889
5,6,4,3,3,3,3,3,3,3,3,3,3,3,3,2,1,4,4,2,9,4,2,7199.6892
1,3,5,4,4,4,3,3,3,3,3,3,3,3,3,2,0,1,1,2,3,1,0,10197.7305
3,6,4,1,4,4,3,3,3,3,3,1,3,3,6,2,0,4,1,7,9,4,0,1764.9334
3,3,4,1,4,4,3,3,3,1,1,1,1,3,3,2,0,2,3,4,2,1,0,26650.6194
2,6,3,1,4,4,3,3,3,1,1,1,3,3,2,2,0,1,4,2,9,4,2,95406.1804
4,9,1,1,4,3,3,9,3,2,1,1,9,9,5,1,0,3,1,1,9,9,2,1820.8269
3,5,4,1,4,4,1,3,3,3,3,1,1,1,4,1,1,3,2,7,2,1,0,4580.6791
3,5,4,1,4,4,1,3,3,1,1,1,3,3,4,1,0,1,1,6,3,1,0,10001.8592
3,3,5,1,4,4,3,3,3,1,1,1,3,3,3,1,0,2,1,1,1,1,0,17271.3936
3,3,4,1,3,4,1,1,1,1,3,1,1,3,1,1,0,4,1,4,9,1,0,19374.6066
2,4,4,3,4,4,3,3,3,1,3,3,3,3,5,2,0,3,1,4,3,1,0,761.1855
4,4,4,1,1,1,3,3,3,3,3,3,3,3,5,1,0,1,1,4,2,1,0,12953.4834
2,6,4,1,1,4,3,3,3,3,1,1,3,3,4,2,0,4,1,7,9,4,0,652.4867
1,6,4,1,9,3,3,3,3,3,3,3,3,3,6,2,0,3,1,3,9,4,0,1831.9649
4,6,3,1,4,4,3,3,3,1,1,1,1,1,1,2,1,4,1,2,9,4,0,22094.0282
4,2,5,3,4,4,3,3,3,3,1,1,1,1,1,1,0,4,1,4,3,1,0,18231.0202
3,3,4,1,4,2,1,3,3,3,1,1,3,1,5,2,0,1,1,6,2,1,0,1264.5235
1,4,3,1,4,4,3,3,3,3,3,1,1,1,6,1,0,2,1,6,2,1,0,4278.0623
3,5,4,1,4,4,3,3,3,3,3,1,3,1,4,1,0,1,1,4,3,1,0,4167.612
1,5,4,3,4,3,3,3,3,3,3,1,3,3,3,1,1,1,2,6,4,2,0,25342.9018
4,6,2,1,1,2,3,3,3,3,3,1,3,3,3,2,1,4,2,2,9,4,1,3204.7439
4,3,4,1,4,2,2,3,2,2,1,1,1,2,2,1,0,2,1,2,3,1,0,8406.933
2,3,4,1,4,3,1,3,3,1,1,1,3,3,3,2,1,3,2,6,2,1,0,5988.7184
1,6,4,3,4,4,3,3,3,3,1,1,3,3,6,1,0,1,1,6,9,4,0,11659.1148
3,5,4,1,4,4,3,3,3,1,1,1,3,3,5,2,0,3,1,7,1,1,0,542.7085
3,1,1,3,3,3,9,9,9,9,9,9,9,9,2,1,0,4,1,4,4,3,2,1046.8519
2,5,4,1,4,4,3,3,3,3,3,3,3,3,2,1,1,2,1,4,3,1,0,13925.9615
3,1,1,1,3,4,3,3,3,1,1,1,3,3,4,2,0,1,1,4,4,3,0,2453.6785
2,3,2,3,4,4,3,3,3,1,1,3,3,3,5,2,0,3,1,4,4,3,0,717.5318
1,6,2,1,4,4,3,3,3,3,2,1,3,3,4,1,1,1,1,5,9,4,0,4755.8923
2,6,4,1,1,2,3,3,3,3,2,1,3,1,6,1,0,1,1,7,9,4,0,15338.2463
1,6,2,1,4,2,3,3,3,3,3,3,3,3,6,1,0,1,4,4,9,4,0,2065.5588
3,6,2,4,4,4,3,3,3,3,1,1,3,3,3,2,1,1,1,6,9,4,2,8808.0265
2,6,3,1,4,2,2,3,3,2,1,1,3,3,5,1,0,1,1,7,9,4,0,2108.4067
3,6,3,1,4,4,3,3,3,1,1,1,3,3,6,1,0,2,1,2,9,4,9,4057.7118
2,3,4,1,4,4,3,3,3,2,2,3,3,3,5,1,0,2,1,7,2,1,0,1721.7199
2,6,4,3,4,4,3,9,9,9,3,3,9,9,6,2,0,1,1,1,9,4,0,13592.6334
3,2,1,3,4,4,3,3,3,3,1,3,3,3,6,1,0,3,2,6,2,1,0,326.1409
2,6,3,1,4,4,3,3,3,1,1,1,1,3,7,2,0,3,1,4,9,4,0,1169.9598
5,4,4,1,4,3,2,3,3,3,1,1,1,1,2,2,0,4,4,6,1,1,0,5437.7351
3,5,4,1,4,4,3,3,3,3,3,1,3,1,3,2,1,2,1,4,3,1,0,8678.6223
4,5,3,3,3,3,1,3,3,1,1,1,3,3,6,2,0,3,4,4,2,1,0,5876.9245
2,6,4,1,4,4,3,3,3,3,1,1,3,3,5,2,0,1,1,6,9,4,0,12630.6922
5,6,5,1,4,4,3,1,3,2,2,2,3,3,5,2,0,3,4,2,9,4,3,2527.1038
1,3,4,3,3,4,3,3,3,3,3,3,3,3,3,2,1,3,1,4,3,1,0,1058.9316
3,4,3,1,1,2,3,3,3,1,3,1,3,3,3,1,1,1,1,4,1,1,0,2764.9858
1,5,4,2,9,2,9,9,9,9,2,1,9,9,4,1,1,1,2,6,1,1,0,2977.8402
3,5,4,3,4,4,3,3,3,3,1,1,3,2,4,2,0,4,1,4,1,1,0,2962.963
3,5,4,1,1,3,3,3,3,2,1,1,3,1,2,2,0,1,3,7,2,1,0,6791.5088
3,6,3,3,4,4,1,1,1,1,1,1,1,3,3,2,1,1,1,2,9,4,0,13929.4803
2,5,4,4,4,4,3,3,3,3,1,3,3,1,5,1,0,1,1,4,2,1,0,3505.9261
2,5,4,4,4,2,2,3,3,2,3,1,3,3,4,2,1,2,1,3,3,1,0,26797.9145
1,6,4,3,1,4,3,3,3,3,1,1,3,3,7,1,0,1,1,4,9,4,0,4813.2873
3,6,4,3,1,4,3,3,3,3,1,1,3,3,6,2,0,4,4,3,9,4,0,9698.9603
3,6,1,1,4,3,1,3,3,1,1,1,1,1,1,2,0,4,1,2,9,4,2,8302.6082
1,6,5,2,4,4,3,3,3,3,3,3,3,3,6,1,0,1,1,3,9,4,0,1739.2701
2,6,3,3,1,2,1,3,3,1,1,1,1,3,5,1,0,1,1,4,9,4,0,3205.0503
1,5,4,1,4,4,3,3,3,3,3,3,3,3,5,2,0,3,1,7,3,1,0,1391.6966
4,4,4,1,4,2,3,3,3,3,1,1,3,3,6,2,0,3,4,6,3,1,0,4437.8629
2,6,4,1,4,1,3,3,3,3,1,1,3,3,5,2,0,1,1,4,9,4,0,2144.3882
2,5,4,1,4,2,2,3,3,3,3,3,3,3,5,1,0,2,3,6,1,1,0,7936.9896
3,6,4,3,3,3,3,3,9,2,3,2,2,2,7,2,0,1,3,2,9,4,0,7273.5477
2,4,4,3,4,4,1,3,3,1,1,1,3,3,5,1,0,1,1,4,2,1,0,9562.3099
3,3,3,1,1,4,2,3,3,1,1,1,3,3,2,2,0,1,1,6,1,1,0,5281.4512
4,6,3,3,4,4,1,3,3,3,3,3,3,3,6,1,0,3,1,3,9,4,0,1203.6556
3,6,5,3,4,4,3,3,3,1,1,1,3,3,6,2,0,1,1,5,9,4,0,1818.1752
3,5,4,1,4,4,1,2,2,2,3,3,3,3,3,1,0,4,2,7,1,1,0,1480.5704
2,3,5,3,3,3,3,9,3,1,1,1,9,3,5,2,0,1,1,2,2,1,1,5333.2213
1,6,4,3,4,4,3,3,3,3,3,3,3,3,5,1,0,1,1,5,9,4,0,5660.2949
3,4,2,1,4,4,1,3,3,3,3,1,3,1,3,1,1,1,1,6,2,1,0,14299.4329
4,4,4,1,2,4,3,3,1,2,2,1,3,3,6,2,0,4,4,3,4,2,0,4839.3747
1,5,4,3,4,3,3,3,3,3,3,1,3,3,7,1,0,1,1,7,2,1,0,2527.3568
2,6,4,1,4,4,3,3,3,3,1,1,3,3,6,2,0,1,1,4,9,4,0,2647.8142
2,4,4,3,4,3,3,3,3,3,1,1,3,3,4,2,0,1,1,6,3,1,0,2641.6048
2,2,2,1,4,4,1,3,1,3,3,1,1,1,3,1,1,1,1,2,1,1,0,6661.2155
3,5,3,1,1,3,3,3,3,3,3,1,3,3,5,2,0,3,4,7,2,1,0,322.8813
1,5,4,1,4,4,3,3,3,3,1,1,3,3,7,2,0,1,1,4,2,1,0,4950.8389
3,4,3,1,3,3,1,3,3,1,1,1,3,1,4,2,1,1,1,7,1,1,0,8514.8687
4,6,1,1,4,3,3,3,3,1,1,1,1,3,1,2,1,4,1,1,9,4,1,33309.0564
3,4,5,3,4,4,3,1,3,3,3,3,3,3,5,2,0,3,4,4,2,1,0,875.0879
2,4,4,3,4,4,1,3,3,3,3,3,3,1,2,1,1,2,1,6,1,1,0,28165.6256
1,6,4,3,3,9,3,3,3,3,1,1,3,1,6,1,0,3,4,7,9,4,0,549.5115
2,6,5,3,4,3,3,3,3,1,1,1,3,3,5,2,0,3,1,2,9,4,0,1790.4391
4,5,4,1,4,4,1,3,3,3,3,3,3,3,3,2,1,2,1,4,1,1,0,14673.6009
3,5,2,1,4,4,3,3,3,3,1,1,3,3,5,2,0,1,2,7,2,1,0,8062.0853
3,5,4,3,4,4,3,3,3,3,3,1,3,3,4,2,1,1,1,4,1,1,0,2429.0751
3,4,4,3,4,2,3,3,3,2,1,1,3,3,3,1,0,1,1,4,1,1,0,27175.3359
1,6,4,1,4,4,3,3,3,3,1,1,3,3,5,1,0,1,1,6,9,4,0,8050.7694
4,5,4,1,4,4,3,3,3,1,1,3,3,3,3,2,1,1,1,6,1,1,0,3063.1285
1,6,4,4,9,2,3,3,3,2,1,3,3,3,6,1,0,3,2,3,9,4,0,5824.8636
4,4,2,3,1,4,3,3,3,3,3,3,3,3,3,2,1,3,3,4,3,1,2,7115.6179
2,5,3,1,1,3,3,3,3,3,3,1,3,1,4,1,1,1,1,6,2,1,0,6171.4069
1,6,5,9,9,9,3,3,3,3,1,1,3,3,5,1,1,2,1,2,9,4,0,9104.6751
2,6,2,3,3,3,3,3,3,1,1,1,3,1,5,2,1,3,4,4,9,4,0,28796.2095
2,6,3,3,4,2,3,3,3,2,1,1,3,1,6,1,0,1,1,4,9,4,0,2464.4489
3,5,4,1,4,3,3,3,3,3,1,3,3,3,5,2,0,4,1,4,3,1,0,1788.8818
3,5,5,1,3,3,3,3,1,1,1,1,3,3,4,2,0,1,1,6,1,1,0,4563.8355
5,4,4,1,4,3,3,3,3,3,1,1,1,3,2,2,0,4,2,7,3,1,0,1366.7597
3,6,4,3,2,4,3,3,3,1,1,1,1,3,6,2,0,1,1,4,9,4,0,2156.0163
3,1,1,1,4,4,1,3,1,1,1,1,1,2,3,1,0,1,2,3,4,3,0,19946.7637
1,6,4,1,4,2,3,3,3,3,3,3,3,3,6,2,0,1,1,2,9,4,0,4750.7535
2,5,3,1,4,4,3,3,3,1,1,1,3,3,4,2,0,1,1,6,4,2,0,987.752
5,6,5,3,4,4,3,3,3,1,1,1,3,3,5,1,0,4,2,1,9,4,3,7255.6185
4,5,4,1,4,4,3,3,3,3,3,3,1,1,3,2,1,1,1,4,3,1,0,1548.8383
2,6,4,1,4,4,3,3,3,1,1,3,3,3,6,1,0,1,1,7,9,4,0,1313.2394
1,5,4,3,9,9,3,3,3,3,3,3,3,3,5,2,0,4,4,6,1,1,0,5016.0917
3,3,2,1,1,4,1,3,3,1,3,2,3,3,3,2,1,3,1,3,4,3,0,4427.3812
4,4,1,1,4,4,3,3,3,3,3,1,3,3,4,2,0,4,4,2,4,2,3,4547.8349
3,5,4,1,4,4,1,3,3,3,1,1,1,3,1,1,1,4,1,4,3,1,0,10623.6744
3,6,3,1,1,4,3,3,3,1,1,1,3,3,4,2,1,1,1,2,9,4,0,44923.8045
2,5,4,1,1,2,3,3,3,3,1,1,1,3,2,2,0,2,2,6,3,1,0,6593.6765
3,4,4,1,1,2,3,3,3,1,1,1,3,3,1,2,1,4,1,1,3,1,0,7374.3203
4,4,3,3,4,3,3,3,3,3,3,3,3,3,5,2,0,1,2,2,3,1,0,6091.385
2,3,4,3,4,4,3,3,3,3,1,1,3,1,3,2,1,1,1,6,4,3,0,1835.3894
4,5,4,1,4,4,1,3,3,1,1,1,1,3,2,2,0,4,3,7,3,1,0,534.7268
2,6,4,3,4,4,1,3,1,3,3,1,3,1,6,2,0,4,4,6,9,9,0,6137.1209
1,5,4,4,4,4,3,3,3,3,3,3,3,3,4,1,1,1,1,4,3,1,0,7031.0337
1,3,2,3,4,3,3,3,3,3,1,1,1,1,4,1,0,1,4,3,3,1,0,6163.7218
3,1,5,1,4,4,2,3,3,3,1,1,3,3,6,1,0,1,1,6,2,1,0,6338.558
2,5,3,3,4,3,3,3,3,3,1,1,3,3,2,2,0,1,1,7,1,1,0,3043.5632
2,4,4,3,4,4,3,3,3,3,3,3,3,3,3,1,1,1,1,7,2,1,0,2453.9418
1,6,4,1,1,4,3,3,3,3,3,3,3,3,6,1,0,1,4,1,9,4,9,4510.6098
3,6,5,1,4,4,1,1,3,1,1,1,3,3,5,2,0,2,1,2,9,4,0,34353.3122
2,6,2,4,4,4,9,2,9,9,1,1,9,9,6,1,0,3,1,3,9,4,0,16998.35
4,6,1,1,4,2,3,3,3,3,1,1,1,3,2,1,0,4,4,2,9,4,0,12703.5
3,4,4,3,4,4,3,3,3,1,1,3,3,3,3,1,1,1,1,6,3,1,0,2793.2596
3,4,2,3,3,3,3,3,3,3,3,1,3,3,3,2,1,1,4,6,4,3,0,11034.9111
4,3,3,4,4,4,3,3,1,2,1,1,1,3,3,2,0,4,4,7,1,1,0,2254.4193
1,6,3,3,1,4,3,3,3,3,1,1,3,3,7,1,0,1,1,6,9,4,0,1035.8506
4,4,2,3,4,4,3,3,3,2,1,1,3,3,1,2,1,4,4,1,3,1,2,13768.0708
1,6,4,1,4,4,1,3,3,3,3,1,3,3,7,1,0,1,1,7,9,4,0,1782.4249
3,5,4,1,4,3,3,3,3,1,1,1,3,3,2,2,0,2,1,2,4,2,0,16624.4019
3,6,3,1,3,3,3,3,1,1,1,1,3,3,2,2,0,4,4,4,9,4,0,6305.5165
3,6,5,1,9,4,3,3,3,1,2,1,3,3,6,1,0,1,1,3,9,4,0,3646.1849
1,5,4,1,1,4,9,9,9,9,3,3,3,9,5,2,0,4,3,4,2,1,0,9361.7644
3,5,4,3,9,9,3,9,3,3,3,3,3,3,3,1,1,3,1,4,3,1,2,931.9898
2,6,5,1,4,4,3,3,3,3,2,1,3,3,6,1,0,1,4,7,9,4,0,2249.6285
2,6,4,1,4,4,3,3,3,3,1,1,3,3,6,1,0,2,1,7,9,4,0,12492.4713
2,3,5,1,4,4,3,3,3,3,3,1,3,3,4,2,1,1,4,7,1,1,0,15300.2395
2,4,4,4,4,4,2,3,1,1,3,3,3,3,3,1,0,4,1,4,3,1,0,1217.8914
3,6,1,3,3,3,3,3,9,1,1,1,1,1,2,1,0,4,1,4,9,4,0,11876.1895
1,6,4,1,4,4,3,3,3,3,3,3,3,3,6,1,0,4,1,6,9,4,0,408.9179
4,3,3,4,4,4,3,3,3,1,1,1,1,2,1,2,1,4,1,1,3,1,0,9594.1422
2,6,5,1,1,4,3,3,3,3,3,1,3,3,7,2,0,3,3,7,9,4,0,1409.0218
3,6,5,1,4,4,3,3,3,1,1,1,3,3,6,1,0,1,1,2,9,4,0,17343.2925
1,6,4,4,4,4,3,3,3,3,3,1,3,3,7,2,0,3,1,3,9,4,0,1940.2771
3,4,1,1,4,4,3,3,1,1,3,1,1,1,3,1,1,2,1,6,3,1,2,5351.6439
1,5,4,1,4,4,3,3,3,3,1,3,3,3,6,1,0,1,1,2,2,1,0,2886.6619
3,5,4,3,4,4,2,3,3,2,1,1,3,3,4,1,0,1,1,3,3,1,0,3141.2258
2,5,4,1,1,4,3,3,3,3,1,1,1,3,1,2,0,4,1,2,1,1,0,2303.6119
3,6,4,1,4,2,3,3,3,1,3,3,3,3,6,2,0,1,1,2,9,4,0,25103.6251
2,3,2,1,4,4,3,3,3,3,1,1,3,3,4,2,0,1,1,4,4,3,0,44806.9246
3,6,2,3,4,4,3,3,3,3,1,1,3,3,3,2,1,2,1,2,9,4,1,7947.457
1,5,4,1,4,4,1,3,3,3,1,3,3,3,5,1,0,1,1,5,1,1,0,1440.5429
3,5,4,3,3,3,3,3,3,3,1,1,3,3,5,2,1,1,1,6,1,1,0,4998.2759
2,5,3,1,4,4,3,3,3,1,1,1,3,3,5,2,0,1,1,6,3,1,0,3071.5253
2,5,4,3,4,4,3,3,3,3,3,1,3,3,6,1,0,1,1,1,3,1,0,31573.927
1,6,4,3,4,4,3,3,3,3,1,1,1,1,1,1,0,4,1,2,9,4,0,19972.5968
2,4,2,1,4,4,3,3,3,3,1,1,3,3,5,1,0,2,1,6,4,3,0,3497.5353
2,6,2,1,4,4,3,3,3,3,1,1,3,3,6,2,0,3,1,4,9,4,0,1534.6414
2,5,4,3,3,4,2,3,3,3,3,3,3,3,5,2,1,1,1,2,3,1,0,4318.4911
3,5,4,3,4,4,3,3,1,1,1,1,3,1,2,2,1,3,1,3,1,1,0,8676.5171
2,4,3,1,4,4,3,3,3,2,1,1,3,3,2,2,0,1,3,6,3,1,0,14875.8867
1,6,3,1,1,4,3,3,3,1,3,1,3,1,7,2,0,3,1,3,9,4,0,5483.9247
3,5,5,1,4,4,3,3,3,1,1,1,3,3,3,2,0,4,3,7,3,1,0,1275.2238
2,6,4,3,1,4,3,3,3,3,1,1,3,1,6,1,0,1,1,7,9,4,0,3502.2331
2,4,3,1,4,4,3,9,3,3,3,1,3,3,6,1,0,2,1,4,3,1,0,2048.5602
2,4,2,2,3,2,3,3,3,3,2,2,3,3,3,2,1,1,2,7,2,1,1,8552.7597
3,6,4,1,4,4,3,3,3,3,3,3,3,3,6,1,0,1,4,4,9,4,0,5996.6959
4,1,5,1,4,2,3,3,3,3,1,1,1,3,2,1,0,4,2,7,1,1,0,1387.5987
2,3,3,3,1,3,3,3,3,1,1,1,3,3,4,1,1,1,4,4,3,1,0,8675.0573
2,5,5,1,4,2,1,1,1,1,1,1,1,1,3,1,0,4,2,7,3,1,1,637.9431
5,5,4,3,4,4,1,3,3,1,1,1,3,3,1,2,0,2,1,4,3,1,0,4133.302
2,6,4,1,4,4,1,3,3,3,1,3,3,3,7,1,0,1,1,7,9,4,0,1432.047
2,5,4,1,1,4,3,3,3,1,3,1,3,3,2,2,0,1,1,6,1,1,0,5250.4669
3,6,3,1,3,3,3,3,3,3,1,1,3,3,6,2,0,1,1,4,9,4,0,6632.5613
1,6,2,1,1,2,3,3,3,1,1,1,3,3,6,1,0,1,2,6,9,4,0,2355.8447
3,5,4,1,4,4,3,3,3,1,3,1,3,3,2,2,1,1,1,6,1,1,1,2913.1972
3,5,4,3,4,4,1,3,3,3,3,3,1,3,2,1,1,1,1,3,3,1,0,4707.4287
3,6,2,1,4,3,3,3,3,1,1,1,3,1,6,2,0,2,3,6,9,4,0,13851.2267
1,3,2,4,4,4,3,3,3,3,3,3,3,3,2,1,0,4,1,1,3,1,0,1677.2038
4,4,2,3,4,4,3,3,3,1,1,1,3,1,2,1,0,3,1,2,3,1,2,3821.5167
3,6,4,3,3,4,3,3,3,1,1,1,3,3,7,2,0,3,1,2,9,4,0,4759.4873
2,4,4,3,4,4,3,3,3,3,3,3,3,3,6,2,0,1,1,3,3,1,0,2783.6958
2,4,4,4,4,4,3,3,3,3,1,1,3,3,4,2,0,2,1,2,3,1,0,4292.3117
1,5,4,1,4,4,3,3,3,1,3,3,3,3,3,2,1,1,1,6,3,1,0,1835.3894
1,4,4,1,4,4,3,3,3,3,3,3,3,3,5,1,0,4,1,3,3,1,0,1856.9107
1,5,4,3,4,3,3,3,3,1,1,3,3,3,5,1,0,1,1,7,1,1,0,1348.1557
3,2,2,3,4,4,3,3,3,3,1,3,3,3,3,1,0,4,3,2,1,1,1,13868.0202
3,5,4,1,4,4,3,3,3,3,3,3,3,3,6,1,0,3,1,2,1,1,0,8160.0926
1,5,4,1,4,1,1,3,3,1,3,1,1,3,2,1,0,1,2,6,1,1,0,11640.9845
2,6,3,3,4,4,3,3,3,3,3,1,3,3,6,2,0,1,1,2,9,4,0,2457.0345
3,6,5,3,4,4,3,3,3,3,1,1,3,3,5,2,0,1,1,2,9,4,0,4056.9626
4,6,4,1,4,4,1,3,3,1,1,3,3,3,5,2,0,1,1,2,9,4,0,10505.0698
1,6,4,1,1,4,3,3,3,1,1,1,3,3,6,2,0,1,1,2,9,4,9,2370.4824
3,6,1,3,4,3,3,3,3,1,1,1,1,1,1,1,1,4,1,2,9,4,0,65839.5224
3,5,4,4,4,4,3,3,3,3,3,3,3,3,5,1,0,3,2,2,3,1,2,1627.7734
1,6,2,1,4,4,3,3,3,3,1,1,3,3,6,1,0,1,1,6,9,4,9,1911.1784
2,2,4,3,4,3,1,3,3,1,3,1,3,3,5,2,0,1,1,6,1,1,0,3673.7507
2,6,3,1,4,4,3,3,3,3,1,3,3,3,5,2,0,2,4,4,9,4,0,8191.1783
1,1,2,3,3,3,3,3,3,3,3,1,3,1,4,2,1,2,1,7,2,1,0,1856.7197
1,6,4,1,4,3,3,3,3,1,1,1,3,3,5,1,0,1,4,7,9,4,0,3509.7354
3,4,3,1,4,4,3,3,3,3,1,3,9,1,4,1,0,1,1,7,3,1,0,2652.7184
1,3,4,4,4,3,3,3,3,2,1,1,3,3,4,1,1,1,1,2,3,1,0,12118.8731
3,5,4,1,1,4,3,3,3,3,3,3,3,3,5,2,0,3,3,6,3,1,3,572.8204
1,6,4,3,1,3,3,3,3,3,1,1,1,1,5,2,0,1,4,6,9,4,0,2619.2701
4,5,4,1,4,4,3,3,3,1,1,3,1,3,3,1,1,1,2,7,1,1,0,3191.624
4,5,4,1,1,4,1,3,3,2,1,1,1,3,2,2,1,1,2,4,1,1,0,6787.411
3,6,3,3,3,4,3,3,3,3,3,3,3,3,6,2,0,1,2,5,9,4,0,5396.5254
1,3,2,4,4,4,3,3,3,3,3,1,1,3,1,1,1,4,1,2,2,1,0,21384.7363
4,4,4,3,4,4,1,3,3,3,1,1,1,1,3,1,1,1,1,4,1,1,0,4832.9052
