MH_05,LM_30,LM_40,BH_35A,BH_35B,BH_35E,BH_40A,BH_40B,BH_40C,BH_40D,BH_40E,BH_40F,BH_40G,BH_40H,AGEGRP,SEX,PCHILD,MARSTATC,DWELCODC,PEDUC_LC,PTELEWSC,PEMPSTC,PFSCDV,PERS_WGT
1,6,2,3,4,4,3,3,3,3,3,3,3,3,5,1,0,1,1,6,9,4,0,2343.0011
5,5,4,1,4,4,3,3,1,3,3,3,3,3,3,1,1,1,1,2,2,1,0,5246.47
1,4,3,3,4,3,3,3,3,3,3,3,3,3,7,2,0,3,4,1,9,9,0,11085.0117
3,4,4,1,4,3,1,3,1,1,1,1,1,1,2,2,0,2,4,7,1,1,0,847.0315
2,5,4,1,4,2,3,3,3,1,1,1,3,3,2,2,1,1,1,3,4,2,0,4176.8984
4,3,3,1,1,4,3,3,3,3,1,1,3,3,2,2,1,2,2,6,4,3,0,11760.1207
9,4,5,1,9,9,3,3,9,9,1,9,9,9,5,2,0,4,1,4,9,1,0,3264.9626
4,6,4,3,4,4,3,3,3,1,1,1,3,3,5,2,0,1,1,2,9,4,0,46717.5043
1,5,3,3,4,4,3,3,3,3,3,3,3,3,4,1,1,1,1,6,1,1,0,11607.9489
4,4,5,1,3,3,2,3,3,3,1,1,3,1,4,2,0,1,1,6,1,1,0,1209.0855
2,6,4,1,4,4,2,3,3,3,3,1,3,3,6,1,0,1,1,2,9,4,0,4653.9852
5,3,2,4,4,4,1,1,3,1,1,1,3,3,1,2,0,4,1,5,3,1,2,533.6589
4,6,1,1,3,4,3,1,3,3,1,1,3,3,3,2,0,4,2,3,9,4,0,5808.3498
2,5,4,3,4,4,1,1,3,1,1,3,3,3,3,1,1,3,1,6,3,1,0,2252.0456
2,6,4,1,4,4,3,3,3,3,3,1,3,3,6,2,0,1,1,4,9,4,0,2161.0894
5,2,1,1,4,4,3,3,3,1,3,1,3,3,4,2,0,4,1,2,4,3,3,1926.4724
1,4,2,4,4,4,3,3,3,2,1,3,3,3,6,2,0,1,1,6,4,3,0,2315.297
2,3,5,3,4,4,3,3,3,1,1,1,3,3,4,2,0,4,1,2,1,1,0,38537.0149
4,4,4,1,1,3,3,3,3,1,1,1,3,1,3,2,1,3,2,6,1,1,0,6369.3249
3,1,4,1,4,1,3,3,3,3,1,1,1,3,5,2,0,3,2,2,4,2,0,8354.7043
2,4,4,1,4,2,3,3,3,1,1,1,3,1,3,2,1,1,1,4,3,1,0,2396.0029
2,6,1,3,3,4,3,3,3,3,3,3,3,3,5,1,0,4,3,4,9,4,0,4512.6588
3,4,3,3,4,3,3,3,3,2,1,1,1,3,3,2,0,4,2,4,2,1,0,5663.5763
2,5,3,3,9,3,3,3,3,3,3,3,3,1,4,1,0,1,4,2,3,1,0,4297.2276
3,5,5,1,1,4,3,1,3,3,1,1,3,3,6,2,0,3,2,3,4,3,2,2805.7837
5,3,5,4,3,3,9,9,9,1,1,1,9,9,5,1,0,4,3,2,3,1,0,6078.8912
1,5,4,4,4,4,3,3,3,1,3,1,3,1,5,1,0,1,1,3,3,1,0,6392.2954
4,6,3,1,4,4,3,3,3,3,3,3,3,3,4,1,1,4,1,4,9,4,0,7436.0766
5,3,4,1,4,4,1,3,3,1,1,1,1,3,5,2,0,4,4,7,1,1,0,1597.1878
3,3,5,4,4,4,3,3,3,3,1,1,3,3,6,1,0,3,3,2,4,3,0,2112.2288
3,6,4,4,1,4,3,3,3,1,3,1,3,3,2,1,0,4,1,6,9,4,0,11066.4462
1,5,2,3,4,4,3,3,3,1,1,1,3,1,3,2,1,1,3,7,3,1,0,1560.0981
2,6,3,1,4,4,3,3,3,3,3,3,3,3,5,2,0,1,1,4,9,4,0,5778.2623
5,3,1,3,1,4,3,3,3,3,2,2,2,3,5,1,0,1,1,3,4,3,2,3535.2939
3,4,3,1,4,4,3,3,3,1,1,1,3,1,3,2,1,1,1,6,2,1,0,5614.0058
1,6,4,3,3,4,9,9,9,9,3,1,9,9,7,2,0,3,2,6,9,4,0,2065.085
2,6,4,3,4,2,3,3,3,3,3,1,3,3,7,2,0,3,1,6,9,4,0,851.0324
